materia_id,materia_nombre,inscriptos,duracion_horas,dia,salones,capacidad_total,estado
72,"ESTRUCTURAS DE ACERO",6,2.0,1,"311",29,OK
88,"GENERADORES DE VAPOR",6,4.0,0,"B01",223,OK
111,"HORMIGON ESTRUCTURAL 3",6,5.5,7,"B01;A01;Hall",468,OK
113,"INGENIERIA BIOQUIMICA",6,4.0,0,"B01",223,OK
135,"INT. A LA FISICA MODERNA",6,4.0,2,"311;303",105,OK
171,"MATEMATICA 3",6,3.0,1,"305",35,OK
179,"MECANICA DE LOS FLUIDOS",6,4.0,8,"B01;B22;703",275,OK
195,"ORDENAMIENTO TERRITORIAL 1",6,4.0,0,"B01;601",283,OK
18,"AVALUACIONES 3",5,4.0,0,"B01",223,OK
36,"COMPORTAMIENTO MEC. DE MATERIALES",5,3.5,8,"B01;309;B23",340,OK
75,"ESTRUCTURAS DE MADERA",5,4.0,0,"B01",223,OK
87,"FUND. DE LA PROD. DE CELULOSA Y PAPEL",5,3.0,8,"705;B01;727",263,OK
91,"GEODESIA 3",5,4.0,1,"C21",25,OK
100,"GESTION DEL MANTENIMIENTO",5,4.0,9,"B01;B12;722",374,OK
103,"HIDRAULICA FLUVIAL Y MARITIMA",5,4.0,1,"B11",50,OK
149,"INT. A LA TERMODINAMICA",5,3.0,1,"311;Hall",129,OK
160,"MAMPOSTERIA ESTRUCTURAL",5,4.0,1,"B12",141,OK
164,"MAQUINAS PARA FLUIDOS",5,4.0,9,"B01;310;301",315,OK
259,"TRANSFERENCIA DE CALOR",5,4.0,0,"B01;115",263,OK
270,"TRANSPORTE URBANO",5,4.0,0,"B01",223,OK
273,"VIBRACIONES Y ONDAS",5,4.0,0,"B01;Actos",351,OK
13,"ASPECTOS BASICOS DE REDES DE COMPUT",4,3.0,0,"B01;Piso",293,OK
49,"DISEÑO HIDROLOGICO",4,4.0,2,"A12",119,OK
53,"ECONOMÍA (AREA)",4,4.0,2,"B12",141,OK
55,"ELASTICIDAD",4,4.0,0,"B01",223,OK
58,"ELECTRONICA AVANZADA 2",4,3.0,0,"B01;501",285,OK
70,"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS",4,4.0,2,"A12",119,OK
71,"ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION",4,4.0,2,"722",10,OK
101,"GESTION DE LOS RRHH. EN LA PROD. DE BIENES Y SERV.",4,4.0,2,"B11",50,OK
