materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
253,"TOPOGRAFIA 1",1,4.0,11,12.0,"116",6,OK
254,"TOPOGRAFIA 2",1,4.0,18,16.0,"116",6,OK
256,"TOPOMETRIA",1,4.0,7,8.0,"B12",141,OK
262,"TRANSPORTE AEREO",1,4.0,23,16.0,"116",6,OK
263,"TRANSPORTE DE ENERGIA ELECTRICA",1,4.0,16,12.0,"116",6,OK
264,"TRANSPORTE FERROVIARIO",1,4.0,14,16.0,"116",6,OK
265,"TRANSPORTE FLUVIAL Y MARITIMO",1,4.0,4,8.0,"B23",101,OK
266,"TRANSPORTE INDUSTRIAL",1,4.0,16,12.0,"309",16,OK
268,"TRANSPORTE URBANO",1,4.0,17,8.0,"102",25,OK
274,"QUIMICA DE ALIMENTOS",1,4.0,22,16.0,"116",6,OK
275,"TALLER DE CALIDAD DE DATOS GEOGRAFICOS",1,4.0,16,8.0,"Actos",128,OK
