generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,mejor_fitness_obj1,promedio_fitness_obj1,mejor_fitness_obj2,promedio_fitness_obj2,soluciones_factibles,poblacion_total,tiempo_ms
229,294.00,303.46,13.4543,13.2833,294.000000,303.460000,-13.454286,-13.283257,100,100,37692
230,294.00,304.29,13.4543,13.2999,294.000000,304.290000,-13.454286,-13.299943,100,100,37822
231,294.00,303.46,13.4543,13.2927,294.000000,303.460000,-13.454286,-13.292743,100,100,37953
232,294.00,302.16,13.5257,13.2821,294.000000,302.160000,-13.525714,-13.282143,100,100,38085
233,294.00,302.45,13.5086,13.2716,294.000000,302.450000,-13.508571,-13.271629,100,100,38224
234,294.00,301.44,13.5143,13.2419,294.000000,301.440000,-13.514286,-13.241857,100,100,38363
235,294.00,301.75,13.4886,13.2728,294.000000,301.750000,-13.488571,-13.272800,100,100,38497
236,294.00,302.14,13.4943,13.2935,294.000000,302.140000,-13.494286,-13.293543,100,100,38635
237,294.00,302.99,13.4943,13.3067,294.000000,302.990000,-13.494286,-13.306657,100,100,38770
238,294.00,302.88,13.5000,13.2969,294.000000,302.880000,-13.500000,-13.296943,100,100,38909
239,294.00,301.41,13.5371,13.2835,294.000000,301.410000,-13.537143,-13.283543,100,100,39047
240,294.00,301.88,13.5371,13.3295,294.000000,301.880000,-13.537143,-13.329543,100,100,39182
241,294.00,300.84,13.5371,13.3262,294.000000,300.840000,-13.537143,-13.326200,100,100,39323
242,294.00,300.95,13.5514,13.3278,294.000000,300.950000,-13.551429,-13.327800,100,100,39467
243,294.00,300.08,13.5600,13.3007,294.000000,300.080000,-13.560000,-13.300714,100,100,39628
244,294.00,300.41,13.5686,13.3052,294.000000,300.410000,-13.568571,-13.305200,100,100,39869
245,294.00,300.89,13.5343,13.3170,294.000000,300.890000,-13.534286,-13.316971,100,100,40042
246,294.00,300.39,13.5400,13.2985,294.000000,300.390000,-13.540000,-13.298514,100,100,40246
247,294.00,300.11,13.5400,13.2831,294.000000,300.110000,-13.540000,-13.283143,100,100,40422
248,294.00,300.42,13.5400,13.3117,294.000000,300.420000,-13.540000,-13.311714,100,100,40598
249,294.00,300.96,13.5514,13.3333,294.000000,300.960000,-13.551429,-13.333314,100,100,40752
250,294.00,300.66,13.5514,13.3507,294.000000,300.660000,-13.551429,-13.350686,100,100,40909
251,294.00,301.55,13.5514,13.3733,294.000000,301.550000,-13.551429,-13.373343,100,100,41065
