materia_id,materia_nombre,inscriptos,duracion_horas,dia,hora_inicio,salones,capacidad_total,estado
224,"TECNOLOGIA Y SERV. INDUSTRIALES 2",1,4.0,12,8.0,"307",180,OK
227,"TEORIA DE ERRORES 1",1,4.0,21,12.0,"116",6,OK
228,"TEORIA DE ERRORES 2",1,4.0,13,16.0,"116",6,OK
229,"TEORIA DEL BUQUE",1,4.0,4,8.0,"305",35,OK
231,"TEORIA DE MAQUINAS Y MECANISMOS",1,4.0,10,8.0,"B01",223,OK
232,"TEORIA DE RESTRICCIONES",1,4.0,12,12.0,"116",6,OK
235,"TOPOGRAFIA 1",1,4.0,14,8.0,"C01",194,OK
236,"TOPOGRAFIA 2",1,4.0,20,12.0,"B01",223,OK
237,"TOPOGRAFIA 3",1,4.0,20,16.0,"116",6,OK
238,"TOPOMETRIA",1,4.0,13,8.0,"310",16,OK
245,"TRANSPORTE DE ENERGIA ELECTRICA",1,4.0,6,8.0,"31",35,OK
246,"TRANSPORTE FERROVIARIO",1,4.0,16,16.0,"116",6,OK
248,"TRANSPORTE INDUSTRIAL",1,4.0,16,8.0,"Actos",128,OK
249,"TRANSPORTE POR CARRETERA",1,4.0,3,16.0,"116",6,OK
254,"CALCULO Y AJUSTE DE LAS OBSERVACIONES",1,4.0,3,8.0,"Hall",100,OK
255,"GEODESIA GEOMETRICA",1,2.0,4,8.0,"A12",119,OK
257,"TALLER DE CALIDAD DE DATOS GEOGRAFICOS",1,4.0,11,8.0,"B01",223,OK
260,"GEODESIA ASTRONÓMICA",1,4.0,15,8.0,"A01",145,OK
261,"GEODESIA FÍSICA",1,4.0,1,8.0,"A01",145,OK
262,"HIDROGENO VERDE: PRODUCCIÓN Y USOS",1,4.0,17,8.0,"116",6,OK
263,"MICROBIOLOGIA GENERAL",1,4.0,20,12.0,"116",6,OK
